snapshot_id,class_id,checkpoint,attendance_avg,homework_avg,pass_chuan_rate,pass_mem_rate,snapshot_date
83f8742c,1159,Tuần 1,93,81,20,16.0,2026-06-01
37564820,1159,Tuần 2,92,82,27,21.6,2026-06-08
df0917d3,1159,Test 1,89,77,34,27.2,2026-06-15
951a081e,1159,Tuần 4,99,84,41,32.8,2026-06-22
2f2b9c46,1159,Tuần 5,100,85,48,38.4,2026-06-29
8f746fa6,1159,Test 2,100,81,55,44.0,2026-07-06
bc233c2a,1006,Tuần 1,93,86,15,12.0,2026-06-01
cfa172f5,1006,Tuần 2,94,86,22,17.6,2026-06-08
4e4f0f4a,1006,Test 1,89,82,29,23.2,2026-06-15
329987aa,1006,Tuần 4,99,80,36,28.8,2026-06-22
91195e94,1006,Tuần 5,85,94,43,34.4,2026-06-29
10a7a8e7,1006,Test 2,83,100,50,40.0,2026-07-06
db1a2d6c,905,Tuần 1,88,82,16,12.8,2026-06-01
31fec9db,905,Tuần 2,91,80,23,18.4,2026-06-08
89b0c1c6,905,Test 1,90,86,30,24.0,2026-06-15
78c3135c,905,Tuần 4,88,88,37,29.6,2026-06-22
690efdd3,905,Tuần 5,84,74,44,35.2,2026-06-29
55ade919,905,Test 2,83,87,51,40.8,2026-07-06
e6dcc761,ALL,Tuần 1,92,88,25,20.0,2026-06-01
a8c2f7de,ALL,Tuần 2,91,88,31,24.8,2026-06-08
4f06c26e,ALL,Test 1,94,86,37,29.6,2026-06-15
13bb278b,ALL,Tuần 4,89,88,43,34.4,2026-06-22
2f5efb91,ALL,Tuần 5,88,88,49,39.2,2026-06-29
e3d5c8da,ALL,Test 2,92,88,55,44.0,2026-07-06
